长江证券股份有限公司上海锦绣路证券营业部,143
华鑫证券有限责任公司深圳益田路证券营业部,143
国元证券股份有限公司重庆观音桥步行街证券营业部,143
中国银河证券股份有限公司重庆民族路证券营业部,142
南京证券股份有限公司南京大钟亭证券营业部,141
西藏东方财富证券股份有限公司拉萨八一路证券营业部,140
中国国际金融股份有限公司北京建国门外大街证券营业部,140
中信证券股份有限公司杭州延安路证券营业部,139
九州证券股份有限公司浙江分公司,138
联储证券有限责任公司深圳滨海大道易思博证券营业部,138
国信证券股份有限公司广州东风中路证券营业部,136
华泰证券股份有限公司无锡金融一街证券营业部,136
国信证券股份有限公司杭州市心中路证券营业部,136
光大证券股份有限公司宁波悦盛路证券营业部,136
中国银河证券股份有限公司宜昌新世纪证券营业部,136
国泰君安证券股份有限公司上海打浦路证券营业部,135
中国银河证券股份有限公司杭州新塘路证券营业部,135
华泰证券股份有限公司上海浦东新区妙境路证券营业部,134
华泰证券股份有限公司南京中华路证券营业部,134
华鑫证券有限责任公司上海宛平南路证券营业部,134
东兴证券股份有限公司泉州温陵北路证券营业部,132
兴业证券股份有限公司泉州分公司,132
国信证券股份有限公司成都二环路证券营业部,132
中国银河证券股份有限公司北京学院南路证券营业部,132
中国中投证券有限责任公司南京中央路证券营业部,131
华鑫证券有限责任公司广州广州大道中证券营业部,131
广发证券股份有限公司成都新光路证券营业部,131
东海证券股份有限公司南京洪武北路证券营业部,131
中国银河证券股份有限公司厦门美湖路证券营业部,130
光大证券股份有限公司宁波甬江大道证券营业部,129
财富证券有限责任公司杭州绍兴路证券营业部,128
方正证券股份有限公司成都高升桥路证券营业部,128
中航证券有限公司广州天河北路证券营业部,125
财通证券股份有限公司临安西苑路证券营业部,125
国泰君安证券股份有限公司南京中央路证券营业部,125
华泰证券股份有限公司绍兴府山证券营业部,123
东吴证券股份有限公司苏州西北街证券营业部,123
申万宏源证券有限公司温州车站大道证券营业部,122
中天证券股份有限公司深圳民田路证券营业部,122
湘财证券股份有限公司台州祥和路证券营业部,120
兴业证券股份有限公司深圳分公司,119
中信证券股份有限公司上海漕溪北路证券营业部,118
兴业证券股份有限公司成都航空路证券营业部,118
中信证券股份有限公司北京安外大街证券营业部,117
